,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,species,size
0,5.1,3.5,1.4,0.2,0,setosa,Small
1,4.9,3.0,1.4,0.2,0,setosa,Small
2,4.7,3.2,1.3,0.2,0,setosa,Small
3,4.6,3.1,1.5,0.2,0,setosa,Small
4,5.0,3.6,1.4,0.2,0,setosa,Small
5,5.4,3.9,1.7,0.4,0,setosa,Small
6,4.6,3.4,1.4,0.3,0,setosa,Small
7,5.0,3.4,1.5,0.2,0,setosa,Small
8,4.4,2.9,1.4,0.2,0,setosa,Small
9,4.9,3.1,1.5,0.1,0,setosa,Small
10,5.4,3.7,1.5,0.2,0,setosa,Small
11,4.8,3.4,1.6,0.2,0,setosa,Small
12,4.8,3.0,1.4,0.1,0,setosa,Small
13,4.3,3.0,1.1,0.1,0,setosa,Small
14,5.8,4.0,1.2,0.2,0,setosa,Medium
15,5.7,4.4,1.5,0.4,0,setosa,Medium
16,5.4,3.9,1.3,0.4,0,setosa,Small
17,5.1,3.5,1.4,0.3,0,setosa,Small
18,5.7,3.8,1.7,0.3,0,setosa,Medium
19,5.1,3.8,1.5,0.3,0,setosa,Small
20,5.4,3.4,1.7,0.2,0,setosa,Small
21,5.1,3.7,1.5,0.4,0,setosa,Small
22,4.6,3.6,1.0,0.2,0,setosa,Small
23,5.1,3.3,1.7,0.5,0,setosa,Small
24,4.8,3.4,1.9,0.2,0,setosa,Small
25,5.0,3.0,1.6,0.2,0,setosa,Small
26,5.0,3.4,1.6,0.4,0,setosa,Small
27,5.2,3.5,1.5,0.2,0,setosa,Small
28,5.2,3.4,1.4,0.2,0,setosa,Small
29,4.7,3.2,1.6,0.2,0,setosa,Small
30,4.8,3.1,1.6,0.2,0,setosa,Small
31,5.4,3.4,1.5,0.4,0,setosa,Small
32,5.2,4.1,1.5,0.1,0,setosa,Small
33,5.5,4.2,1.4,0.2,0,setosa,Small
34,4.9,3.1,1.5,0.2,0,setosa,Small
35,5.0,3.2,1.2,0.2,0,setosa,Small
36,5.5,3.5,1.3,0.2,0,setosa,Small
37,4.9,3.6,1.4,0.1,0,setosa,Small
38,4.4,3.0,1.3,0.2,0,setosa,Small
39,5.1,3.4,1.5,0.2,0,setosa,Small
40,5.0,3.5,1.3,0.3,0,setosa,Small
41,4.5,2.3,1.3,0.3,0,setosa,Small
42,4.4,3.2,1.3,0.2,0,setosa,Small
43,5.0,3.5,1.6,0.6,0,setosa,Small
44,5.1,3.8,1.9,0.4,0,setosa,Small
45,4.8,3.0,1.4,0.3,0,setosa,Small
46,5.1,3.8,1.6,0.2,0,setosa,Small
47,4.6,3.2,1.4,0.2,0,setosa,Small
48,5.3,3.7,1.5,0.2,0,setosa,Small
49,5.0,3.3,1.4,0.2,0,setosa,Small
50,7.0,3.2,4.7,1.4,1,versicolor,Large
51,6.4,3.2,4.5,1.5,1,versicolor,Medium
52,6.9,3.1,4.9,1.5,1,versicolor,Large
53,5.5,2.3,4.0,1.3,1,versicolor,Small
54,6.5,2.8,4.6,1.5,1,versicolor,Medium
55,5.7,2.8,4.5,1.3,1,versicolor,Medium
56,6.3,3.3,4.7,1.6,1,versicolor,Medium
57,4.9,2.4,3.3,1.0,1,versicolor,Small
58,6.6,2.9,4.6,1.3,1,versicolor,Large
59,5.2,2.7,3.9,1.4,1,versicolor,Small
60,5.0,2.0,3.5,1.0,1,versicolor,Small
61,5.9,3.0,4.2,1.5,1,versicolor,Medium
62,6.0,2.2,4.0,1.0,1,versicolor,Medium
63,6.1,2.9,4.7,1.4,1,versicolor,Medium
64,5.6,2.9,3.6,1.3,1,versicolor,Medium
65,6.7,3.1,4.4,1.4,1,versicolor,Large
66,5.6,3.0,4.5,1.5,1,versicolor,Medium
67,5.8,2.7,4.1,1.0,1,versicolor,Medium
68,6.2,2.2,4.5,1.5,1,versicolor,Medium
69,5.6,2.5,3.9,1.1,1,versicolor,Medium
70,5.9,3.2,4.8,1.8,1,versicolor,Medium
71,6.1,2.8,4.0,1.3,1,versicolor,Medium
72,6.3,2.5,4.9,1.5,1,versicolor,Medium
73,6.1,2.8,4.7,1.2,1,versicolor,Medium
74,6.4,2.9,4.3,1.3,1,versicolor,Medium
75,6.6,3.0,4.4,1.4,1,versicolor,Large
76,6.8,2.8,4.8,1.4,1,versicolor,Large
77,6.7,3.0,5.0,1.7,1,versicolor,Large
78,6.0,2.9,4.5,1.5,1,versicolor,Medium
79,5.7,2.6,3.5,1.0,1,versicolor,Medium
80,5.5,2.4,3.8,1.1,1,versicolor,Small
81,5.5,2.4,3.7,1.0,1,versicolor,Small
82,5.8,2.7,3.9,1.2,1,versicolor,Medium
83,6.0,2.7,5.1,1.6,1,versicolor,Medium
84,5.4,3.0,4.5,1.5,1,versicolor,Small
85,6.0,3.4,4.5,1.6,1,versicolor,Medium
86,6.7,3.1,4.7,1.5,1,versicolor,Large
87,6.3,2.3,4.4,1.3,1,versicolor,Medium
88,5.6,3.0,4.1,1.3,1,versicolor,Medium
89,5.5,2.5,4.0,1.3,1,versicolor,Small
90,5.5,2.6,4.4,1.2,1,versicolor,Small
91,6.1,3.0,4.6,1.4,1,versicolor,Medium
92,5.8,2.6,4.0,1.2,1,versicolor,Medium
93,5.0,2.3,3.3,1.0,1,versicolor,Small
94,5.6,2.7,4.2,1.3,1,versicolor,Medium
95,5.7,3.0,4.2,1.2,1,versicolor,Medium
96,5.7,2.9,4.2,1.3,1,versicolor,Medium
97,6.2,2.9,4.3,1.3,1,versicolor,Medium
98,5.1,2.5,3.0,1.1,1,versicolor,Small
99,5.7,2.8,4.1,1.3,1,versicolor,Medium
100,6.3,3.3,6.0,2.5,2,virginica,Medium
101,5.8,2.7,5.1,1.9,2,virginica,Medium
102,7.1,3.0,5.9,2.1,2,virginica,Large
103,6.3,2.9,5.6,1.8,2,virginica,Medium
104,6.5,3.0,5.8,2.2,2,virginica,Medium
105,7.6,3.0,6.6,2.1,2,virginica,Large
106,4.9,2.5,4.5,1.7,2,virginica,Small
107,7.3,2.9,6.3,1.8,2,virginica,Large
108,6.7,2.5,5.8,1.8,2,virginica,Large
109,7.2,3.6,6.1,2.5,2,virginica,Large
110,6.5,3.2,5.1,2.0,2,virginica,Medium
111,6.4,2.7,5.3,1.9,2,virginica,Medium
112,6.8,3.0,5.5,2.1,2,virginica,Large
113,5.7,2.5,5.0,2.0,2,virginica,Medium
114,5.8,2.8,5.1,2.4,2,virginica,Medium
115,6.4,3.2,5.3,2.3,2,virginica,Medium
116,6.5,3.0,5.5,1.8,2,virginica,Medium
117,7.7,3.8,6.7,2.2,2,virginica,Large
118,7.7,2.6,6.9,2.3,2,virginica,Large
119,6.0,2.2,5.0,1.5,2,virginica,Medium
120,6.9,3.2,5.7,2.3,2,virginica,Large
121,5.6,2.8,4.9,2.0,2,virginica,Medium
122,7.7,2.8,6.7,2.0,2,virginica,Large
123,6.3,2.7,4.9,1.8,2,virginica,Medium
124,6.7,3.3,5.7,2.1,2,virginica,Large
125,7.2,3.2,6.0,1.8,2,virginica,Large
126,6.2,2.8,4.8,1.8,2,virginica,Medium
127,6.1,3.0,4.9,1.8,2,virginica,Medium
128,6.4,2.8,5.6,2.1,2,virginica,Medium
129,7.2,3.0,5.8,1.6,2,virginica,Large
130,7.4,2.8,6.1,1.9,2,virginica,Large
131,7.9,3.8,6.4,2.0,2,virginica,Large
132,6.4,2.8,5.6,2.2,2,virginica,Medium
133,6.3,2.8,5.1,1.5,2,virginica,Medium
134,6.1,2.6,5.6,1.4,2,virginica,Medium
135,7.7,3.0,6.1,2.3,2,virginica,Large
136,6.3,3.4,5.6,2.4,2,virginica,Medium
137,6.4,3.1,5.5,1.8,2,virginica,Medium
138,6.0,3.0,4.8,1.8,2,virginica,Medium
139,6.9,3.1,5.4,2.1,2,virginica,Large
140,6.7,3.1,5.6,2.4,2,virginica,Large
141,6.9,3.1,5.1,2.3,2,virginica,Large
142,5.8,2.7,5.1,1.9,2,virginica,Medium
143,6.8,3.2,5.9,2.3,2,virginica,Large
144,6.7,3.3,5.7,2.5,2,virginica,Large
145,6.7,3.0,5.2,2.3,2,virginica,Large
146,6.3,2.5,5.0,1.9,2,virginica,Medium
147,6.5,3.0,5.2,2.0,2,virginica,Medium
148,6.2,3.4,5.4,2.3,2,virginica,Medium
149,5.9,3.0,5.1,1.8,2,virginica,Medium
